Kalimat-1,Kalimat-2,Kalimat-3,Kalimat-4,Correct Ending,Incorrect Ending
Neil menyukai Dublin!,Dia pikir ibu kota Irlandia itu hidup dan ramah.,Tapi tempat favoritnya adalah Trinity College.,Dia melihat Kitab Kells kuno dipajang di sana.,Dia menikmati tinggal di pedesaan.,Neil bosan dengan perjalanan itu dan pulang.
Itu adalah hari terakhir liburan kami.,Kami sedang makan siang di teras hotel.,Kami tertawa dan tersenyum karena itu adalah liburan yang menyenangkan.,Kemudian kami mengemasi tas kami dan pergi ke bandara.,Kami ingin mengunjungi kembali suatu hari nanti.,Kami semua bersumpah untuk tidak pernah kembali lagi.
Dan yakin bahwa dia sudah melupakan mantan pacarnya.,Sampai seorang teman memposting fotonya di sebuah restoran.,Gambar itu membawa Dan kembali ke masa-masa indah.,Dia merasa menyesal.,Dan memutuskan untuk menelepon pacar lamanya.,Dan tidak lagi kesepian.
Henry ingin bermain berburu untuk pesta ulang tahun putranya.,Daftar item yang akan diambil telah dibuat terlebih dahulu.,Dia meminta bantuan tetangga dan bisnis terdekat.,"Setelah menempatkan barang di tempat yang tepat, dia harus membuat petunjuk.",Anak-anak menyukai perburuan pemulung.,Henry memutuskan untuk tidak melakukan perburuan.
Anna pergi ke salon.,Dia merapikan kukunya untuk pertama kalinya.,"Dia gugup, tetapi teknisi itu ramah.",Dia mengerjakan kukunya dengan cepat dan ahli.,Anna merasa sangat modis saat meninggalkan salon.,Anna sangat menyukai gaya rambut barunya.
Pernah ada seorang pedagang budak.,Dia menemukan tuhan dan mengubah cara jahatnya.,Dia menulis lagu tentang pertobatannya.,Lagu itu menjadi terkenal dan populer.,Pedagang budak menjadi sangat terkenal dan kaya dari lagunya.,Semua orang membenci lagu pedagang budak.
Tony dan Mark adalah rival sengit di lapangan basket.,Setiap hari sepulang sekolah mereka akan bertemu di blacktop lokal untuk bermain.,Mereka akan selalu bermain satu lawan satu.,Mereka selalu sangat serasi.,Pertandingannya sangat dekat.,Tony akan meledakkan Mark.
Ivan digigit nyamuk saat mendaki hutan.,"Gigitannya merah dan gatal, tapi awalnya tidak mengganggunya.",Kemudian itu membengkak dan menjadi sakit.,Seorang dokter melihatnya dan memberi tahu Ivan bahwa gigitan itu terinfeksi!,Ivan membeli obat nyamuk untuk pendakian berikutnya.,Ivan senang pendakian berakhir dengan sangat baik.
Core memecahkan vas antik kaca orang tuanya.,Dia takut ketahuan.,Dia menyapu kaca di bawah permadani.,Orangtuanya datang dan mengambil sepatu mereka.,Orang tua Core melukai kaki mereka di atas kaca.,Mereka memutuskan untuk memberi selamat kepada Core.
Kami ingin pergi ke pantai suatu akhir pekan.,"Setelah berdiskusi, kami tidak mau mengemudi.",Kami melanjutkan untuk mencari tiket pesawat secara online.,"Setelah membeli tiket murah, kami menuju bandara.",Kami naik pesawat ke pantai.,Kami memutuskan untuk tetap berkendara melewati bandara menuju pantai.
Ana baru saja memiliki seorang bayi perempuan.,Dia ingin gadisnya memiliki telinga yang tajam.,Dia membawa bayinya ke studio dan menindik telinganya.,Kemudian dia memasang kancing berlian kecil ke dalam tindikan.,Ana menyukai anting-anting itu.,Ana tidak punya anak.
Sebastian ingin bermain sepak bola di tim teman-temannya.,Dia berbicara dengan temannya dan menemukan bahwa dia perlu pergi berlatih.,Dia berlatih menangkap bola di rumah sepanjang minggu.,Dia pergi ke latihan berikutnya dan mencetak touchdown.,Sebastian senang latihannya membuahkan hasil.,Sebastian kecewa dengan performa hit.
Petugas pengiriman menyerahkan paket kepada saya.,Saya membuka kotak itu.,"Karena tidak ada apa-apa di dalam, saya mencoba berteriak pada kurir.",Dia tidak bisa mendengarku dan pergi.,Saya harus menelepon untuk mencari tahu apa yang sedang terjadi.,Saya senang dengan layanannya.
George memutuskan untuk membeli TV.,Dia menemukan TV yang sangat bagus yang dia inginkan dan pergi untuk mengambilnya.,"Beberapa hari kemudian, George terbangun karena terkejut.",TVnya telah dicuri.,"Dia memberi tahu polisi, yang mengatakan mereka tidak mungkin menemukannya.",Segalanya menjadi seperti yang dia harapkan.
Ibu Jeremy tidak menyetujui gaya hidupnya.,"Saat berusia 21 tahun, Jeremy memutuskan untuk pindah.",Dia menemukan sebuah apartemen di negara bagian terdekat dengan pekerjaan baru.,"Setelah beberapa tahun dia bersih-bersih, dan membiayai hidupnya sendiri.",Jeremy senang menjadi lebih bertanggung jawab.,Jeremy harus tinggal bersama ibunya.
Kakek Annie membutuhkan transplantasi jantung.,Dia berada di rumah sakit untuk waktu yang sangat lama.,"Saat transplantasi terjadi, seluruh keluarganya ketakutan.","Namun, dia sembuh dengan kesehatan yang baik.",Keluarga Annie senang dengan hasilnya.,Keluarga Annie sedih.
Catherine selalu tertarik dengan olahraga Curling.,Catherine suka menonton atlet bermain olahraga di televisi.,"Suatu hari, Catherine memutuskan dia akan mengunjungi sesi latihan Curling.","Saat latihan, salah satu atlet mengundang Catherine untuk bermain.",Catherine kemudian mulai berlatih setiap hari dan menjadi ahli dalam hal itu.,Catherine mengira curling tampak membosankan.
Jimmy pergi bermain skateboard sore ini.,Ini adalah ketiga kalinya minggu ini.,Dia semakin mahir dan sangat menyukainya.,Dia jatuh sekali tapi belum menyerah.,"Setelah semua latihannya minggu ini, Jimmy telah mempelajari trik baru.",Jimmy memutuskan untuk memberikan skateboard-nya.
Keluarga Trent memiliki toko perlengkapan berkemah.,Trent tidak suka berkemah.,Setiap musim panas orang tuanya menyuruhnya pergi berkemah.,Musim panas ini Trent bertanggung jawab menjaga api tetap menyala.,Trent ceroboh dan menyebabkan kebakaran besar.,Trent mengisi dua kendi sangria ke kamar orang tuanya.
Saya memutuskan untuk menyewa film ketika teman-teman datang tadi malam.,"Setelah melihat-lihat pilihan, kami memutuskan untuk ngeri.",Kami memilih film yang bagus dan duduk dengan berondong jagung.,Benar-benar menakutkan!,Aku sulit tidur malam itu.,Secara keseluruhan saya tidak puas dengan malam itu.
Neil melakukan tur ke taj Mahal.,Dia mengagumi keindahan desainnya.,Kemudian dia mendengar cerita sedih di baliknya.,Neil terkesan dengan kerja cinta yang nyata.,Neil senang dia telah melihat taj Mahal.,Neil mengira pembangunnya tidak berusaha keras.
Simon melihat truk yang bergerak di depan rumah sebelah.,Keluarga yang pindah memiliki seorang putri remaja dan Simon terpikat.,Dia mengumpulkan keberanian untuk pergi dan memperkenalkan dirinya.,Dia pemalu tapi ramah dan cukup menerima untuk menyemangatinya.,Dia bergaul dengannya sepanjang hari.,Dia berteriak padanya dan pulang.
Selasa lalu saya mengambil kelas spin pertama saya di gym.,Itu adalah kelas olahraga tersulit yang pernah saya ikuti.,Saya mengatasinya selama satu jam dan kaki saya mati rasa.,"Ketika saya sampai di rumah, kaki saya mulai sakit dan saya tidak bisa berjalan.",Saya pergi tidur dan kemudian beristirahat sampai pagi.,Saya merasa seperti saya bisa lari maraton.
Gertrude terkenal kikuk dan canggung.,Teman-temannya berpikir bahwa mengikuti olahraga dapat membantunya.,Dia memutuskan untuk mencoba tim sepak bola di sekolah.,Dia berlari ke lapangan dan tiba-tiba tersandung bola.,"Secara alami, dia tidak diterima di tim sepak bola.",Tim sepak bola memberinya selamat dan memberinya tempat di tim.
Emile ingin menjadi koki yang hebat.,Dia mengambil pelajaran dan bekerja keras belajar memasak.,Dia berlatih memasak dan menyajikan makanan untuk teman-temannya.,Teman-temannya menyukai masakannya dan mendorongnya.,Emile akhirnya mendapat pekerjaan sebagai chef.,Emile berhenti berbicara dengan teman-temannya.
Tim terlalu tinggi untuk semua celananya.,Dia tidak dapat menemukan pakaian yang bagus untuk dipakai dalam perjalanannya ke taman!,"Semuanya membuat kakinya terlihat terlalu panjang, dan konyol.",Kemudian dia memutuskan untuk memotong celana jinsnya menjadi celana pendek.,Tim mengenakan celana pendek ke taman.,Tim memutuskan untuk tinggal di rumah dan menonton TV.
Rachel melihat surat hariannya.,Dia menemukan surat yang ditulis dalam bahasa asing.,Rachel menunjukkan surat itu kepada teman-temannya.,Tidak ada yang bisa membaca atau memahami surat itu.,Rachel membawanya ke profesor bahasa untuk diterjemahkan.,Rachel tidak ingin tahu apa isi surat itu.
Tadi malam kami ingin memesan pizza.,Separuh dari kita menginginkan pepperoni.,Separuh lainnya menginginkan sosis.,Saya membuat keputusan.,Kami memesan pizza dengan topping terpisah di setiap setengahnya.,Saya menyarankan agar kami memilih film lain.
Bob benar-benar haus dan ingin soda.,"Sayangnya, dia tidak punya uang.",Bob masuk ke pompa bensin dan bertanya apakah dia boleh minum soda.,Kasir bertanya apakah dia punya uang.,Dia berkata tidak dan meninggalkan pom bensin.,Dia memutuskan untuk lari.
Jill melakukan perjalanan darat bulan lalu.,Dia ingin melakukan perjalanan dari Boston ke Seattle.,"Di tengah jalan, mobilnya mogok.","Dia menghabiskan waktu berjam-jam di pinggir jalan, menunggu AAA.",Mereka memperbaiki mobilnya dan mengirimnya dalam perjalanan.,Jill senang mereka tiba begitu cepat.
Gina berada di taman bersama temannya Pam selama berjam-jam.,Sekarang matahari sudah terbenam.,Dia mengucapkan selamat tinggal dan pulang.,Ketika dia tiba di luar sudah gelap.,Gina langsung pergi tidur.,Gina memutuskan bahwa itu belum cukup larut dan kembali ke luar.
Grace selalu suka mempermainkan guru.,Trik favoritnya adalah menyembunyikan semua kapur dari gurunya.,"Suatu hari ketika dia menyembunyikan kapur, guru itu menangkap Grace.",Dia diskors dari sekolah selama dua minggu.,Grace memutuskan untuk berhenti bermain trik di sekolah.,Grace tidak melewatkan satu hari pun di kelas sepanjang tahun itu.
Maggie mengadakan resital piano pertamanya malam ini.,Dia sangat gugup.,Saat dia naik panggung dia gemetar.,Syukurlah dia akhirnya bermain dengan sempurna.,Maggie didorong untuk berbuat lebih banyak.,Maggie menyerah pada pianonya.
Josie menemukan seekor laba-laba di bawah tempat tidurnya.,Dia menyemprotkan sekaleng lysol ke sekeliling bingkai tempat tidur.,Josie melihat laba-laba merangkak naik ke dinding.,Dia menepuk dinding dengan selembar kertas.,Josie benci laba-laba.,Josie menyukai laba-laba.
Amy ingin meluruskan rambut keritingnya.,Dia pergi ke toko dan membeli pelurus rambut besi pipih.,Dia mencuci dan kemudian menghabiskan 2 jam meluruskan rambutnya.,Hujan dan rambutnya basah.,Amy sangat terpukul.,Amy senang.
Bobby melipat buahnya menjadi bentuk pesawat terbang.,Dia melilitkan lengannya dan melempar pesawat terbang sekuat yang dia bisa.,"Tapi itu terlalu berat, dan jatuh seperti batu bata.",Bobby memutuskan bahwa pesawat harus terbuat dari kertas.,Bobby berumur lima tahun.,Bobby berusia tiga puluh lima tahun.
Ellen selalu membenci sekolah.,Anak-anak mengolok-oloknya setiap hari.,Mereka memanggilnya Elly yang bau.,Dia memutuskan untuk mulai mandi.,Ellen sangat terkejut.,Ellen menyukai perhatian negatif.
Gina berbisik kepada Mary dalam tahanan.,Gadis-gadis itu terkikik bersama.,Gina tahu gurunya tidak senang.,Mereka terus berbisik.,Guru menyuruh mereka berhenti berbicara.,Guru bergabung dengan percakapan mereka.
Jennifer terjun dari blok awal.,Dia selalu merasa bahwa dia menahan anggota timnya yang lain.,Dia mendorong lebih keras daripada yang pernah dia lakukan untuk menangkap perenang lainnya.,Dia bahkan melewati beberapa dan benar-benar menempati posisi kedua dalam acaranya.,Jennifer bangga pada dirinya sendiri karena berenang dengan sangat baik.,Jennifer menyadari berenang bukanlah hobi terbaiknya.
Semua orang di keluarga saya berkumpul untuk Thanksgiving.,"Itu adalah perjalanan yang panjang bagi banyak orang, tetapi mereka berhasil.",Kami semua duduk bersama dan makan malam.,"Setelah makan malam, kami mengunjungi dan menyusul.",Kami bersenang-senang.,Kami semua akhirnya tidak bisa berhenti berdebat satu sama lain.
Max adalah anak yang sangat cerdas.,Tapi dia akan tersesat dalam imajinasinya yang hidup.,"Tidak peduli seberapa keras dia berusaha, dia mendapati dirinya melamun.",Max tidak berprestasi di sekolah.,Max secara konsisten gagal.,Guru Max memuji kreativitasnya.
Seekor tupai tinggal di pohon di halaman rumah ibuku.,Dia mulai memberinya makan kacang.,"Suatu hari, dia melihat ada banyak tupai di pohonnya.",Dia mulai memberi makan mereka semua kacang.,Tupai mulai lebih sering datang ke rumahnya.,Dia kemudian menakuti para tupai.
Saya bosan ketika putri saya masuk Taman Kanak-kanak.,Saya mulai menggantikan mengajar di sekolahnya jika ada guru yang sakit.,Saya menjadi sangat tertarik dengan mengapa beberapa anak lebih sulit belajar.,Hal ini membuat saya mengambil banyak kelas tentang pendidikan khusus.,Saya mulai mengajar pendidikan khusus.,Saya memutuskan untuk tidak pernah mengajar.
Tim sepak bola telah bekerja keras sepanjang musim.,Mereka telah memenangkan setiap pertandingan dan berhasil mencapai kejuaraan.,Hanya ada beberapa detik tersisa pada jam dan permainan pun berakhir.,Gelandang melakukan umpan panjang dan penerima mencetak gol.,Kerumunan semua berdiri di kursi mereka dan bertepuk tangan dengan liar.,Penonton mencemooh tim dengan keras.
Lonnie berusaha mencari tahu jurusan apa yang akan diambil di perguruan tinggi.,Dia tahu bahwa tujuan akhirnya adalah menjadi seorang guru.,Dia meminta nasihat dari konselor karir.,Konselor memberinya daftar prasyarat.,Lonnie akhirnya memutuskan untuk melanjutkan pendidikan.,Lonnie membuang daftar itu.
Saya mendapatkan tiket konser saya.,Saya pergi ke Chicago.,Saya tidak percaya saya melihat Beatle.,Saya berada 30 baris dari depan panggung.,Saya bersorak ketika The Beatle menjadi sorotan.,Saya mulai gemetar tak terkendali karena ketakutan dan ketakutan.
"Alih-alih langsung kuliah, Flora malah pergi ke luar negeri.",Dia mengunjungi banyak negara Eropa dan bertemu banyak orang.,"Ketika dia seharusnya pulang, dia memutuskan untuk tinggal di Spanyol.",Dia mendapat pekerjaan sebagai tutor dan memiliki banyak petualangan hebat.,Flora mengunjungi orang tuanya setiap musim panas untuk menceritakan kisahnya kepada mereka.,Flora merasa sedih karena dia tidak pernah melihat Eropa.
Kelly selalu memiliki rambut paling kering.,Dia tidak tahu harus berbuat apa.,Akhirnya dia pergi ke dokter.,Dia meresepkan pilnya.,Kelly akhirnya memiliki rambut yang tidak kering.,Kelly menyukai keripik kentang.
"Chris ingin sebungkus permen karet, tapi dia tidak punya uang.",Dia memutuskan untuk mencuri permen karet dari toko.,"Pemilik toko memergoki Chris mencuri permen karet, dan dia mendapat masalah.",Chris merasa tidak enak.,Chris memohon belas kasihan.,Chris sangat senang ketahuan.
Saya suka bermain bisbol tapi saya benci menonton bisbol.,Ini menyenangkan untuk dimainkan tapi sejujurnya sangat membosankan untuk ditonton.,Ayah saya suka menontonnya dan saya terkadang duduk bersamanya dan menonton.,Kami berbicara tentang masa lalu ketika kami biasa bermain bersama di luar.,Sangat menyenangkan untuk bersantai dan bernostalgia.,Saya berharap dia sudah meninggal.
Seorang pemilik bar memasang spanduk besar untuk mengiklankan barnya.,Angin kencang dan meniup spanduk itu.,Pemilik larangan itu mengejarnya ke seluruh kota.,Itu mendarat di halaman belakang seorang wanita tua.,Wanita tua itu menolak mengembalikan spanduk itu.,Wanita tua itu sangat senang menemukan mantel bulu itu.
Mike lelah bekerja dan butuh liburan.,"Sayangnya, Mike tidak tahu kemana dia harus pergi.",Dia kemudian memutuskan untuk memutar bola dunia dan pergi ke tempat jarinya mendarat.,Jari Mike mendarat di Hawaii.,Mike melakukan perjalanan ke Hawaii.,Mike pergi ke Prancis.
Akhir-akhir ini saya banyak memperhatikan bahwa orang menipu pemohon yang baik.,Baru hari ini saya melihat mereka menipu pemohon yang telah saya cintai.,"Setelah memikirkan tentang apa yang harus saya lakukan, saya memutuskan untuk mengirim email.",Pemohon sangat responsif dan memutuskan untuk berbicara dengan saya.,Saya suka membantu orang lain.,Saya tidak suka membantu orang.
Seorang pria memesan pancake di restoran dari server.,Dia membawakannya sepiring pancake beberapa menit kemudian.,Pria itu mengeluh karena pancake terlalu kental.,Server membawa mereka kembali ke juru masak.,Si juru masak memutuskan untuk membuat ulang pancake.,Si juru masak memujinya.
Ken sangat ingin memainkan organ.,Suatu hari dia melihat satu per satu penjualan halaman.,Dia mampir ke rumah dan menegosiasikan harga.,Ken kemudian memasukkan organ itu ke dalam truknya.,Dia membawa pulang organ itu dan belajar memainkannya dengan indah.,Dia kemudian membawanya ke ladang kosong dan membakarnya.
Saya pergi kencan buta beberapa hari yang lalu.,Dia manis dan ramah.,Kami didirikan melalui rekan kerja.,Kami tampaknya memiliki beberapa kesamaan.,Segera kami menjadi pacar dan memikirkan pernikahan.,Kami langsung putus.
Marina sedang berjalan melewati perpustakaan.,Dia menundukkan wajahnya untuk menghindari angin kencang yang menuju wajahnya.,Tiba-tiba sebuah tumbleweed menghantam kaki Marina dengan sangat keras.,Dia melihat ke bawah ke arah kakinya tetapi menjadi bingung.,Dia tidak percaya betapa beranginnya itu.,Dia suka bermain golf.
Gina tidak seharusnya menggunakan ponselnya dalam penahanan.,Jadi ketika dia menjatuhkan telepon dia tahu itu masalah.,Guru memegang telepon dan menatapnya.,Gina berpura-pura itu bukan ponselnya.,Guru Gina sama sekali tidak tertipu dan memberinya lebih banyak penahanan.,Guru Gina memberitahunya bahwa dia bisa menggunakan teleponnya.
